"precinct","votes_2016","clinton","trump","tot_reg","asian","black","caucasian","hispanic","unknown","pct_latino","pct_clinton","pct_trump","wt","reg_2012","votes_2012","obama","romney","pct_obama","pct_romney","wt_2012"
"08031422",1173,881,185,1512,24,21,1116,330,21,0.218253968,0.751065643648764,0.15771526001705,0.00353451652755597,1618,1103,826,235,0.748866727107888,0.213055303717135,0.00359419194223224
"08031423",816,577,185,1430,13,47,798,538,34,0.376223776,0.707107843137255,0.22671568627451,0.00245879410612589,1498,821,588,198,0.716199756394641,0.241169305724726,0.00267527795518828
"08031424",1040,740,222,1437,14,27,957,423,16,0.294363257,0.711538461538462,0.213461538461538,0.00313375719408202,1391,804,568,179,0.706467661691542,0.222636815920398,0.00261988243114662
"08031425",768,598,106,1356,11,62,684,570,29,0.420353982,0.778645833333333,0.138020833333333,0.00231415915870672,1513,827,643,121,0.777509068923821,0.146311970979444,0.00269482931661475
"08031426",1126,812,186,1996,15,86,1175,684,36,0.342685371,0.72113676731794,0.165186500888099,0.00339289480820803,2021,1040,845,129,0.8125,0.124038461538462,0.00338890264725434
"08031427",239,199,25,641,34,215,96,286,10,0.446177847,0.832635983263598,0.104602510460251,0.000720161509024618,791,317,280,19,0.883280757097792,0.0599369085173502,0.00103296359536502
"08031428",941,694,168,1607,9,35,730,828,5,0.5152458,0.737513283740701,0.178533475026567,0.00283544761502998,1679,935,729,141,0.779679144385027,0.150802139037433,0.00304675382229116
"08031429",946,730,134,1477,10,27,626,800,14,0.541638456,0.771670190274841,0.141649048625793,0.00285051375538615,1372,822,662,109,0.805352798053528,0.132603406326034,0.00267853651542602
"08031430",832,670,101,1271,1,20,521,712,17,0.560188828,0.805288461538462,0.121394230769231,0.00250700575526562,1280,762,629,64,0.825459317585302,0.083989501312336,0.00248302290116135
"08031431",1080,830,180,1549,16,7,644,873,9,0.563589413,0.768518518518518,0.166666666666667,0.00325428631693133,1464,993,768,161,0.773413897280967,0.162134944612286,0.00323575031608034
"08031432",905,700,118,1412,10,15,603,779,5,0.551699717,0.773480662983425,0.130386740331492,0.0027269714044656,1427,885,733,100,0.828248587570621,0.112994350282486,0.00288382581040393
"08031433",964,689,209,1459,20,3,600,827,9,0.566826594,0.714730290456432,0.216804979253112,0.00290475186066833,1517,939,717,171,0.763578274760383,0.182108626198083,0.00305978806324214
"08031434",904,693,139,1426,7,11,523,878,7,0.615708275,0.766592920353982,0.153761061946903,0.00272395817639437,1473,880,698,121,0.793181818181818,0.1375,0.00286753300921521
"08031435",811,622,146,1316,27,17,403,860,9,0.653495441,0.766954377311961,0.180024660912454,0.00244372796576973,1181,681,560,87,0.822320117474302,0.127753303964758,0.00221907952190404
"08031436",750,595,105,1382,37,9,394,939,3,0.679450072,0.793333333333333,0.14,0.00225992105342453,1426,744,617,82,0.829301075268817,0.110215053763441,0.00242436881688195
"08031501",938,727,141,1320,8,7,600,702,3,0.531818182,0.775053304904051,0.150319829424307,0.00282640793081628,1310,896,716,136,0.799107142857143,0.151785714285714,0.00291966997301912
"08031502",643,514,88,1052,1,51,379,606,15,0.576045627,0.799377916018662,0.136858475894246,0.00193750564980263,1047,580,490,49,0.844827586206897,0.0844827586206897,0.00188996493789184
"08031503",825,676,107,1406,1,112,441,812,40,0.577524893,0.819393939393939,0.12969696969697,0.00248591315876699,1451,791,662,60,0.836915297092288,0.0758533501896334,0.00257752114805594
"08031504",718,581,101,1176,1,32,295,837,11,0.711734694,0.809192200557103,0.14066852367688,0.00216349775514509,1208,736,638,48,0.866847826086957,0.0652173913043478,0.00239830033497999
"08031505",828,663,121,1224,7,38,445,716,18,0.58496732,0.800724637681159,0.146135265700483,0.00249495284298069,1272,758,615,84,0.811345646437995,0.110817941952507,0.00246998866021037
"08031506",900,758,85,1191,10,10,752,405,14,0.340050378,0.842222222222222,0.0944444444444444,0.00271190526410944,1214,829,706,88,0.851628468033776,0.106151990349819,0.00270134643709024
"08031507",877,728,85,1309,6,53,575,656,19,0.501145913,0.830102622576967,0.096921322690992,0.00264260101847109,1351,784,641,89,0.817602040816326,0.113520408163265,0.00255471122639173
"08031508",821,633,141,1014,15,8,742,244,5,0.240631164,0.771010962241169,0.171741778319123,0.00247386024648206,1007,693,540,125,0.779220779220779,0.18037518037518,0.00225818224475698
"08031509",1059,827,146,1361,6,21,1005,325,4,0.238795004,0.780925401322002,0.137865911237016,0.00319100852743544,1028,619,512,75,0.827140549273021,0.121163166397415,0.00201704878716388
"08031510",606,440,106,1053,9,63,537,417,27,0.396011396,0.726072607260726,0.174917491749175,0.00182601621116702,870,468,357,66,0.762820512820513,0.141025641025641,0.00152500619126445
"08031511",869,635,143,1152,16,17,959,151,9,0.131076389,0.7307249712313,0.164556962025316,0.00261849519390123,1127,737,513,190,0.69606512890095,0.257801899592944,0.00240155889521774
"08031512",1082,813,173,1499,22,15,1338,107,17,0.071380921,0.751386321626617,0.159889094269871,0.00326031277307379,1508,901,610,264,0.677025527192009,0.293007769145394,0.00293596277420784
"08031513",1895,1332,403,2252,62,33,2045,103,9,0.045737123,0.702902374670185,0.212664907651715,0.00571006719498599,1222,829,469,342,0.565741857659831,0.41254523522316,0.00270134643709024
"08031514",1189,860,226,1657,2,43,1502,98,12,0.05914303,0.723296888141295,0.190075693860387,0.00358272817669569,1492,919,522,364,0.568008705114255,0.396082698585419,0.00299461685848725
"08031515",2085,1552,327,2846,10,118,2454,223,41,0.078355587,0.744364508393285,0.156834532374101,0.0062825805285202,2047,1099,769,280,0.699727024567789,0.254777070063694,0.00358115770128127
"08031516",515,442,23,812,4,103,418,281,6,0.346059113,0.858252427184466,0.0446601941747573,0.00155181245668485,826,461,404,26,0.876355748373102,0.0563991323210412,0.00150219626960024
"08031517",705,460,196,969,16,4,900,46,3,0.04747162,0.652482269503546,0.278014184397163,0.00212432579021906,1004,628,359,252,0.571656050955414,0.401273885350318,0.00204637582930358
"08031518",691,478,165,969,62,4,828,68,7,0.070175439,0.691751085383502,0.238784370477569,0.0020821405972218,1164,685,432,224,0.630656934306569,0.327007299270073,0.00223211376285502
"08031519",989,667,222,1705,8,69,1490,119,19,0.069794721,0.674418604651163,0.224469160768453,0.00298008256244915,1215,595,345,229,0.579831932773109,0.384873949579832,0.00193884334145801
"08031520",835,619,150,5003,4,504,3743,675,77,0.134919049,0.741317365269461,0.179640718562874,0.00251604543947931,3624,836,670,116,0.801435406698565,0.138755980861244,0.00272415635875445
"08031521",841,711,75,1275,2,143,812,296,22,0.232156863,0.845422116527943,0.089179548156956,0.00253412480790671,1322,794,653,96,0.822418136020151,0.120906801007557,0.00258729682876918
"08031522",1900,1381,348,2618,19,53,2078,430,38,0.164247517,0.726842105263158,0.183157894736842,0.00572513333534215,1874,1151,902,191,0.783666377063423,0.165942658557776,0.00375060283364398
"08031523",1301,929,247,1786,44,57,1534,134,17,0.075027996,0.714066102997694,0.189853958493467,0.00392020972067376,1830,1018,633,354,0.62180746561886,0.347740667976424,0.00331721432202396
"08031524",1156,753,283,1675,50,56,1415,120,34,0.071641791,0.651384083044983,0.244809688581315,0.00348329165034501,1695,998,598,368,0.599198396793587,0.3687374749499,0.00325204311726907
"08031525",899,641,186,1493,24,57,1249,128,35,0.085733423,0.71301446051168,0.206896551724138,0.00270889203603821,1784,816,527,260,0.645833333333333,0.318627450980392,0.00265898515399956
