"precinct","votes_2016","clinton","trump","tot_reg","asian","black","caucasian","hispanic","unknown","pct_latino","pct_clinton","pct_trump","wt","reg_2012","votes_2012","obama","romney","pct_obama","pct_romney","wt_2012"
"08031846",1007,799,111,1344,21,54,1169,76,24,0.056547619,0.793445878848064,0.110228401191658,0.00303432066773134,1495,869,707,131,0.813578826237054,0.150747986191024,0.00283168884660002
"08031847",521,415,77,663,17,27,574,43,2,0.064856712,0.796545105566219,0.147792706333973,0.00156989182511224,789,519,415,87,0.799614643545279,0.167630057803468,0.00169119276338942
"08031848",1114,936,100,1490,20,17,1367,80,6,0.053691275,0.840215439856373,0.0897666068222621,0.00335673607135324,1732,1042,857,157,0.822456813819578,0.150671785028791,0.00339541976772983
"08031849",1125,946,103,1476,13,23,1361,71,8,0.048102981,0.840888888888889,0.0915555555555556,0.0033898815801368,1850,1111,906,154,0.815481548154815,0.138613861386139,0.0036202604241342
"08031850",976,786,141,1181,5,14,1119,35,8,0.029635902,0.805327868852459,0.144467213114754,0.00294091059752313,1172,833,630,190,0.756302521008403,0.228091236494598,0.00271438067804121
"08031851",1126,945,99,1474,18,43,1304,93,16,0.063093623,0.839253996447602,0.0879218472468917,0.00339289480820803,1745,1083,880,158,0.812557710064635,0.145891043397969,0.00352902073747735
"08031852",850,725,85,1032,11,15,937,57,12,0.055232558,0.852941176470588,0.1,0.0025612438605478,1206,829,689,120,0.831121833534379,0.14475271411339,0.00270134643709024
"08031853",869,700,126,990,11,2,947,29,1,0.029292929,0.805523590333717,0.144994246260069,0.00261849519390123,1046,827,627,186,0.758162031438936,0.22490931076179,0.00269482931661475
"08031854",992,804,122,1219,29,19,1099,56,16,0.045939295,0.810483870967742,0.122983870967742,0.00298912224666285,1347,916,696,200,0.759825327510917,0.218340611353712,0.00298484117777401
"08031855",1616,1271,198,2330,42,141,1906,214,27,0.091845494,0.786509900990099,0.122524752475248,0.00486937656311206,2274,1206,965,179,0.80016583747927,0.148424543946932,0.00392982364671993
"08031901",1143,803,226,1811,33,126,1477,149,26,0.082274986,0.702537182852144,0.197725284339458,0.00344411968541899,2201,1039,753,238,0.724735322425409,0.229066410009625,0.00338564408701659
"08031902",1504,1054,269,2462,25,157,1988,258,34,0.104792851,0.700797872340426,0.178856382978723,0.004531895019134,2608,1382,1019,295,0.737337192474674,0.213458755426918,0.00450333024856297
"08031903",1116,800,238,1358,8,20,1248,78,4,0.057437408,0.716845878136201,0.21326164874552,0.00336276252749571,1493,1116,750,324,0.672043010752688,0.290322580645161,0.00363655322532292
"08031904",1049,725,235,1297,14,33,1158,75,17,0.057825752,0.691134413727359,0.224022878932316,0.00316087624672311,1287,971,644,291,0.663233779608651,0.299691040164779,0.00316406199084996
"08031905",259,182,52,322,6,19,280,17,NA,0.052795031,0.702702702702703,0.200772200772201,0.000780426070449272,330,262,185,67,0.706106870229008,0.255725190839695,0.000853742782289073
"08031906",986,704,228,1148,5,45,1028,56,14,0.048780488,0.713995943204868,0.231237322515213,0.00297104287823545,1258,925,633,270,0.684324324324324,0.291891891891892,0.00301416821991371
"08031907",1165,795,270,1678,8,129,1333,186,22,0.110846246,0.682403433476395,0.231759656652361,0.00351041070298611,1890,1112,759,308,0.682553956834532,0.276978417266187,0.00362351898437195
"08031908",1070,704,278,1447,19,47,1268,105,8,0.072563925,0.657943925233645,0.25981308411215,0.003224154036219,1504,1048,679,335,0.647900763358779,0.319656488549618,0.00341497112915629
"08031909",1106,794,248,1339,24,49,1160,87,19,0.064973861,0.717902350813743,0.224231464737794,0.00333263024678338,1470,1111,745,330,0.670567056705671,0.297029702970297,0.0036202604241342
"08031910",1297,931,271,1712,18,114,1447,116,17,0.067757009,0.71781033153431,0.208943716268311,0.00390815680838883,1947,1285,914,340,0.711284046692607,0.264591439688716,0.00418724990550175
"08031911",1421,965,339,2220,48,243,1611,274,44,0.123423423,0.679099225897255,0.238564391273751,0.00428179708922168,2446,1334,908,359,0.680659670164918,0.269115442278861,0.00434691935715124
"08031912",1097,651,354,1556,31,150,1210,129,36,0.082904884,0.593436645396536,0.322698268003646,0.00330551119414228,1601,1068,634,385,0.593632958801498,0.360486891385768,0.00348014233391118
"08031913",1171,752,306,1398,5,24,1244,111,14,0.079399142,0.642186165670367,0.26131511528608,0.00352849007141351,1394,973,618,317,0.635149023638232,0.325796505652621,0.00317057911132545
"08031914",939,582,288,1112,9,12,1025,58,8,0.052158273,0.619808306709265,0.306709265175719,0.00282942115888752,1157,881,512,341,0.581157775255392,0.387060158910329,0.00287079156945295
"08031915",932,584,255,1182,7,21,1076,72,6,0.060913706,0.626609442060086,0.273605150214592,0.00280832856238889,1274,933,601,295,0.644158628081458,0.316184351554126,0.00304023670181567
"08031916",1491,929,449,1887,28,60,1676,106,17,0.056173821,0.623071763916834,0.301140174379611,0.00449272305420797,1653,1260,747,481,0.592857142857143,0.381746031746032,0.00410578589955814
"08031917",1245,788,359,1560,23,41,1416,65,15,0.041666667,0.632931726907631,0.288353413654618,0.00375146894868473,1625,1246,745,465,0.597913322632424,0.373194221508828,0.00406016605622972
"08031918",1182,780,304,1365,33,39,1199,74,20,0.054212454,0.65989847715736,0.257191201353638,0.00356163558019706,1493,1172,723,413,0.616894197952218,0.352389078498294,0.00381903259863662
"08031919",1205,751,386,1372,26,45,1207,75,19,0.054664723,0.623236514522822,0.320331950207469,0.00363093982583542,1491,1166,698,435,0.598627787307033,0.373070325900515,0.00379948123721015
"08031920",1082,654,330,1361,13,57,1166,97,28,0.071271124,0.604436229205176,0.304990757855823,0.00326031277307379,1448,1083,655,401,0.604801477377655,0.370267774699908,0.00352902073747735
"08031921",1316,865,333,2254,18,339,1746,131,20,0.0581189,0.657294832826748,0.253039513677812,0.00396540814174225,2735,1370,962,356,0.702189781021898,0.25985401459854,0.00446422752571004
"08031922",1452,943,377,2139,46,125,1784,145,39,0.067788686,0.649449035812672,0.259641873278237,0.0043752071594299,2488,1381,899,424,0.65097755249819,0.307023895727734,0.00450007168832523
"08031923",1174,739,336,1852,45,272,1230,255,50,0.137688985,0.629471890971039,0.286201022146508,0.0035375297556272,2180,1256,833,375,0.663216560509554,0.298566878980892,0.00409275165860716
"08031924",883,637,149,1921,40,342,1147,302,90,0.157209787,0.721404303510759,0.168742921857305,0.00266068038689848,2309,859,633,183,0.736903376018626,0.213038416763679,0.00279910324422257
"08031925",640,371,221,743,5,7,708,20,3,0.0269179,0.5796875,0.3453125,0.00192846596558894,748,611,299,297,0.48936170212766,0.486088379705401,0.00199098030526192
"08031926",649,386,214,798,10,14,723,44,7,0.055137845,0.594761171032357,0.329738058551618,0.00195558501823003,867,650,368,260,0.566153846153846,0.4,0.00211806415453396
"08031927",862,516,285,1089,10,29,996,47,7,0.043158861,0.59860788863109,0.330626450116009,0.0025974025974026,1134,848,432,392,0.509433962264151,0.462264150943396,0.00276325908160738
"08031928",779,517,212,881,9,15,830,21,6,0.023836549,0.663671373555841,0.27214377406932,0.00234730466749028,955,778,470,292,0.604113110539846,0.375321336760925,0.00253515986496526
"08031929",844,529,244,1118,7,101,918,79,13,0.070661896,0.626777251184834,0.289099526066351,0.00254316449212041,1233,779,464,292,0.595635430038511,0.374839537869063,0.00253841842520301
"08031930",818,511,232,1093,11,115,818,129,20,0.118023788,0.624694376528117,0.28361858190709,0.00246482056226836,1137,769,495,240,0.64369310793238,0.312093628088427,0.00250583282282556
"08031931",703,405,265,815,8,15,773,17,2,0.020858896,0.576102418207681,0.376955903271693,0.0021182993340766,900,737,371,356,0.503392130257802,0.483039348710991,0.00240155889521774
"08031932",911,607,236,1247,31,78,1049,70,19,0.056134723,0.666300768386389,0.259055982436883,0.002745050772893,1359,910,597,271,0.656043956043956,0.297802197802198,0.00296528981634754
"08031933",675,403,222,798,17,30,688,54,9,0.067669173,0.597037037037037,0.328888888888889,0.00203392894808208,848,688,398,268,0.578488372093023,0.38953488372093,0.00224188944356825
"08031934",715,464,194,1022,14,119,772,98,19,0.095890411,0.648951048951049,0.271328671328671,0.00215445807093139,1144,724,470,232,0.649171270718232,0.320441988950276,0.00235919761212706
"08031935",1719,992,524,2487,34,31,2306,100,16,0.040209087,0.577079697498546,0.304828388598022,0.00517973905444903,2060,1187,625,508,0.52653748946925,0.427969671440607,0.00386791100220279
"08031936",899,551,251,1339,20,80,1101,118,20,0.088125467,0.612903225806452,0.279199110122358,0.00270889203603821,1733,961,608,314,0.63267429760666,0.326742976066597,0.00313147638847252
"08031937",950,552,335,1095,12,18,1042,22,1,0.020091324,0.581052631578947,0.352631578947368,0.00286256666767108,904,716,337,360,0.470670391061453,0.502793296089385,0.0023331291302251
"08031938",940,515,357,1256,18,19,1171,43,5,0.034235669,0.547872340425532,0.379787234042553,0.00283243438695875,1271,760,340,400,0.447368421052632,0.526315789473684,0.00247650578068586
