"precinct","votes_2016","clinton","trump","tot_reg","asian","black","caucasian","hispanic","unknown","pct_latino","pct_clinton","pct_trump","wt"
"08031216",1017,840,107,1300,21,39,1145,91,4,0.07,0.825958702064897,0.105211406096362,0.00306445294844367
"08031217",1088,856,149,1369,12,20,1277,51,9,0.03725347,0.786764705882353,0.136948529411765,0.00327839214150119
"08031218",1667,1336,183,2266,24,37,2047,144,14,0.063548102,0.801439712057588,0.109778044391122,0.00502305119474493
"08031219",1582,1144,287,2131,14,24,2013,74,6,0.034725481,0.723135271807838,0.18141592920354,0.00476692680869015
"08031220",1456,1182,128,1861,28,45,1514,238,36,0.127888232,0.811813186813187,0.0879120879120879,0.00438726007171483
"08031221",1510,1182,185,1925,18,19,1780,101,7,0.052467532,0.782781456953642,0.122516556291391,0.00454997438756139
"08031222",887,716,96,1157,5,8,1058,79,7,0.068280035,0.807215332581736,0.108229988726043,0.00267273329918342
"08031223",752,568,116,946,5,NA,915,25,1,0.026427061,0.75531914893617,0.154255319148936,0.002265947509567
"08031224",1097,841,167,1375,6,20,1265,74,10,0.053818182,0.766636280765725,0.152233363719234,0.00330551119414228
"08031225",758,562,128,933,11,NA,895,25,2,0.026795284,0.741424802110818,0.168865435356201,0.0022840268779944
"08031226",786,602,121,965,8,5,929,22,1,0.022797927,0.765903307888041,0.153944020356234,0.00236839726398891
"08031227",832,603,162,1040,8,3,989,38,2,0.036538462,0.724759615384615,0.194711538461538,0.00250700575526562
"08031228",553,390,134,658,4,NA,630,19,5,0.02887538,0.705244122965642,0.242314647377939,0.00166631512339169
"08031229",679,459,167,814,5,NA,774,34,1,0.041769042,0.6759941089838,0.245949926362297,0.00204598186036701
"08031230",758,502,195,919,19,NA,884,12,4,0.013057671,0.662269129287599,0.257255936675462,0.0022840268779944
"08031231",826,529,221,1014,23,3,962,19,7,0.018737673,0.64043583535109,0.267554479418886,0.00248892638683822
"08031232",699,521,133,1127,14,37,880,179,17,0.158828749,0.745350500715308,0.190271816881259,0.00210624642179167
